,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
455,92727,23 August 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
460,93801,21 August 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,Civilians (Mali)
461,93814,21 August 2020,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
462,93896,21 August 2020,Explosions/Remote violence,Mali,Segou,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
465,94451,20 August 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
466,94485,20 August 2020,Battles,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
467,94511,20 August 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
470,94755,20 August 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
472,95355,19 August 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
473,95624,18 August 2020,Battles,Mali,Bamako,Mutiny of Military Forces of Mali (2013-2020),Military Forces of Mali (2013-2020),,
474,95630,18 August 2020,Battles,Mali,Koulikoro,Mutiny of Military Forces of Mali (2013-2020),Military Forces of Mali (2013-2020),,
477,95970,18 August 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
478,96243,17 August 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
479,96266,17 August 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Forest Guards (Mali),,Police Forces of Mali (2013-2020)
480,96278,17 August 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-2020),,
481,96635,17 August 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
